Scan,Subject,Beginning_Crop,End_Crop
Part1,1,20,7
Part1,2,20,7
Part1,3,20,6
Part1,4,6,13
Part1,5,20,8
Part1,6,20,7
Part1,7,20,6
Part1,8,20,5
Part1,9,20,4
Part1,10,20,6
Part1,11,20,3
Part1,12,20,5
Part1,13,20,5
Part1,14,20,6
Part1,15,20,3
Part1,16,20,5
Part2,1,20,11
Part2,2,20,7
Part2,3,20,7
Part2,4,6,5
Part2,5,20,7
Part2,6,20,7
Part2,7,20,10
Part2,8,20,7
Part2,9,20,8
Part2,10,20,8
Part2,11,20,6
Part2,12,20,7
Part2,13,20,6
Part2,14,20,4
Part2,15,20,4
Part2,16,20,6
freerecall,1,5,0
freerecall,2,3,0
freerecall,3,3,0
freerecall,4,3,0
freerecall,5,-9,0
freerecall,6,-9,0
freerecall,7,-19,0
freerecall,8,-12,0
freerecall,9,-3,0
freerecall,10,-5,0
freerecall,11,-38,0
freerecall,12,-56,0
freerecall,13,-34,0
freerecall,14,-20,0
freerecall,15,-15,0
freerecall,16,-33,0
