Subject,Scene,Onset,Offset
1,1,1,26
1,2,27,35
1,3,36,55
1,4,56,86
1,5,88,109
1,6,110,130
1,7,132,143
1,8,145,157
1,9,158,172
1,10,174,192
1,11,194,203
1,12,206,225
1,13,227,313
1,14,315,361
1,15,364,399
1,16,400,503
1,17,508,525
1,18,527,534
1,19,536,615
1,20,616,633
1,21,635,641
1,22,643,679
1,23,680,697
1,24,700,747
1,25,749,868
1,26,873,891
1,27,892,945
2,2,6,18
2,3,19,24
2,5,25,44
2,13,114,179
2,14,273,292
2,15,68,99
2,16,101,110
2,19,180,217
2,22,218,249
2,24,250,261
2,25,293,333
2,26,334,354
2,29,355,375
2,30,399,488
2,34,489,517
2,35,518,549
2,36,550,634
2,37,635,653
2,38,654,713
2,39,714,738
2,41,739,751
2,44,785,820
2,45,821,860
2,49,861,883
3,2,6,20
3,3,21,25
3,4,26,34
3,5,35,54
3,8,55,88
3,9,89,97
3,10,98,107
3,11,108,118
3,13,180,221
3,14,129,152
3,16,153,179
3,16,222,245
3,19,246,273
3,22,274,299
3,24,300,325
3,29,326,345
3,30,346,355
3,33,356,423
3,34,424,461
3,35,462,475
3,36,476,501
3,37,502,506
3,38,507,540
3,40,541,565
3,41,566,575
3,42,576,581
3,43,586,589
3,44,590,608
3,45,609,621
3,46,622,643
3,47,644,676
3,48,677,697
3,49,698,713
4,2,3,12
4,3,13,30
4,4,31,47
4,5,48,66
4,8,95,111
4,9,112,113
4,10,114,119
4,11,120,125
4,12,126,139
4,13,140,158
4,14,67,94
4,15,168,189
4,16,190,217
4,19,218,233
4,21,240,247
4,22,248,271
4,23,234,239
4,24,272,280
4,25,281,284
4,27,285,299
4,30,300,319
4,33,320,339
4,34,340,347
4,35,348,363
4,36,364,371
4,37,372,378
4,38,379,388
4,39,389,395
4,40,396,400
4,43,401,407
4,44,408,414
4,45,415,425
4,47,426,435
5,2,14,28
5,3,29,37
5,4,38,53
5,5,54,64
5,7,65,81
5,8,82,93
5,9,94,109
5,10,110,118
