Scan,Scene,Onset,Offset
Part1,1,1,26
Part1,2,27,35
Part1,3,36,55
Part1,4,56,86
Part1,5,88,109
Part1,6,110,130
Part1,7,132,143
Part1,8,145,157
Part1,9,158,172
Part1,10,174,192
Part1,11,194,203
Part1,12,206,225
Part1,13,227,313
Part1,14,315,361
Part1,15,364,399
Part1,16,400,503
Part1,17,508,525
Part1,18,527,534
Part1,19,536,615
Part1,20,616,633
Part1,21,635,641
Part1,22,643,679
Part1,23,680,697
Part1,24,700,747
Part1,25,749,868
Part1,26,873,891
Part1,27,892,945
Part2,1,1,25
Part2,2,27,69
Part2,3,71,129
Part2,4,131,145
Part2,5,146,193
Part2,6,195,275
Part2,7,276,325
Part2,8,344,412
Part2,9,414,489
Part2,10,491,523
Part2,11,525,635
Part2,12,636,671
Part2,13,672,728
Part2,14,730,747
Part2,15,748,756
Part2,16,758,790
Part2,17,791,813
Part2,18,815,859
Part2,19,860,875
Part2,20,877,912
Part2,21,914,960
Part2,22,962,1000
Part2,23,1001,1030
